date,time,city,month,hour,temperature,humidity,wind_speed,pm25,pm10,no2,co,so2,o3,aqi,aqi_category
2022-01-01,00:00,Delhi,1,0,13.5,71.1,6.5,41.5,67.5,79.8,1.94,3.5,16.1,66.1,Satisfactory
2022-01-01,12:00,Mumbai,1,12,9.9,51.1,7.6,82.9,116.7,51.7,2.54,72.3,33.2,170.5,Moderate
2022-01-02,00:00,Lucknow,1,0,12.6,52.9,4.5,89.8,132.5,5.9,2.3,17.2,50.5,203.7,Poor
2022-01-02,12:00,Kanpur,1,12,14.7,80.0,0.5,74.9,154.3,57.9,0.94,68.0,40.5,158.1,Moderate
2022-01-03,00:00,Agra,1,0,4.2,80.7,0.5,30.0,66.9,5.1,0.76,36.8,52.4,68.4,Satisfactory
2022-01-03,12:00,Mathura,1,12,11.1,79.2,0.5,67.4,159.2,36.1,1.17,28.0,61.2,140.0,Moderate
2022-01-04,00:00,Varanasi,1,0,12.2,97.1,0.5,90.1,151.6,35.6,1.76,45.1,117.9,205.9,Poor
2022-01-04,12:00,Allahabad,1,12,17.1,81.2,0.5,34.1,47.8,134.7,0.84,8.2,122.9,61.5,Satisfactory
2022-01-05,00:00,Delhi,1,0,8.3,59.3,6.4,129.5,217.4,74.2,0.75,2.2,43.0,309.8,Very Poor
2022-01-05,12:00,Mumbai,1,12,14.3,85.2,9.3,147.1,265.8,22.6,1.12,54.6,23.1,344.9,Very Poor
2022-01-06,00:00,Lucknow,1,0,11.3,79.6,0.5,73.0,175.4,59.4,2.2,16.1,39.7,151.0,Moderate
2022-01-06,12:00,Kanpur,1,12,14.6,83.2,3.8,45.2,109.6,155.8,1.7,32.4,85.3,105.3,Moderate
2022-01-07,00:00,Agra,1,0,12.3,63.6,4.6,58.6,80.3,31.6,2.75,16.3,24.8,106.1,Moderate
2022-01-07,12:00,Mathura,1,12,11.0,69.3,1.3,243.7,455.0,89.2,0.49,39.9,11.0,484.1,Severe
2022-01-08,00:00,Varanasi,1,0,16.9,58.2,6.2,61.5,127.2,61.6,0.72,20.1,13.3,119.3,Moderate
2022-01-08,12:00,Allahabad,1,12,13.3,71.4,9.5,121.7,215.5,92.6,4.37,40.5,14.5,304.2,Very Poor
2022-01-09,00:00,Delhi,1,0,15.8,66.6,2.1,195.2,313.0,79.3,1.02,10.3,35.9,413.8,Severe
2022-01-09,12:00,Mumbai,1,12,15.6,60.5,6.9,126.9,253.9,21.8,2.42,9.8,31.7,312.8,Very Poor
2022-01-10,00:00,Lucknow,1,0,7.7,58.4,9.5,55.2,105.2,97.4,0.41,16.3,17.4,104.9,Moderate
2022-01-10,12:00,Kanpur,1,12,7.7,64.1,6.4,153.8,316.1,89.3,6.9,34.5,41.3,349.7,Very Poor
2022-01-11,00:00,Agra,1,0,5.6,67.2,5.4,17.5,45.6,88.9,0.76,4.1,71.5,45.3,Good
2022-01-11,12:00,Mathura,1,12,12.8,75.5,36.3,96.5,231.5,66.3,2.06,57.4,105.9,222.9,Poor
2022-01-12,00:00,Varanasi,1,0,18.2,90.1,12.9,33.0,89.2,63.0,0.26,16.3,38.1,91.1,Satisfactory
2022-01-12,12:00,Allahabad,1,12,12.0,80.5,1.2,132.3,228.8,76.6,2.35,49.2,15.4,315.8,Very Poor
2022-01-13,00:00,Delhi,1,0,11.7,62.1,1.1,78.1,125.3,90.9,1.06,30.4,5.0,149.6,Moderate
2022-01-13,12:00,Mumbai,1,12,14.6,62.6,11.1,378.7,721.5,46.7,1.24,6.0,55.0,500.0,Severe
2022-01-14,00:00,Lucknow,1,0,12.2,63.9,5.0,64.4,128.7,6.0,1.71,7.4,5.0,123.4,Moderate
2022-01-14,12:00,Kanpur,1,12,13.2,71.7,6.4,96.1,209.3,110.0,1.01,1.6,21.3,212.7,Poor
2022-01-15,00:00,Agra,1,0,11.8,60.4,4.7,61.0,89.3,57.1,2.61,5.5,21.3,112.1,Moderate
2022-01-15,12:00,Mathura,1,12,11.7,73.6,7.0,67.9,160.1,162.2,2.69,9.0,15.0,139.6,Moderate
2022-01-16,00:00,Varanasi,1,0,14.5,50.4,14.6,39.5,75.2,25.3,4.26,23.2,22.4,77.7,Satisfactory
2022-01-16,12:00,Allahabad,1,12,11.0,80.8,7.0,84.2,146.5,26.1,3.23,5.7,51.4,180.6,Moderate
2022-01-17,00:00,Delhi,1,0,12.8,61.2,3.5,76.3,203.5,59.6,1.77,72.9,39.1,171.9,Moderate
2022-01-17,12:00,Mumbai,1,12,10.2,71.2,2.0,34.9,71.5,7.4,1.07,16.1,35.0,77.7,Satisfactory
2022-01-18,00:00,Lucknow,1,0,11.2,61.4,0.5,75.7,110.8,55.1,1.0,4.2,71.6,146.6,Moderate
2022-01-18,12:00,Kanpur,1,12,8.5,74.5,0.6,44.8,94.8,145.5,1.07,44.1,22.9,97.1,Satisfactory
2022-01-19,00:00,Agra,1,0,10.9,84.1,6.8,40.2,44.1,98.4,2.35,1.0,87.4,64.9,Satisfactory
2022-01-19,12:00,Mathura,1,12,14.9,72.2,7.1,75.9,141.5,72.3,1.64,11.2,47.9,158.3,Moderate
2022-01-20,00:00,Varanasi,1,0,17.0,82.6,1.2,66.7,131.1,35.8,0.41,3.9,149.1,123.9,Moderate
2022-01-20,12:00,Allahabad,1,12,13.8,57.3,0.5,372.3,845.0,148.5,1.25,47.2,57.9,500.0,Severe
2022-01-21,00:00,Delhi,1,0,12.5,59.1,10.2,140.3,303.1,65.1,1.66,19.2,65.7,331.7,Very Poor
2022-01-21,12:00,Mumbai,1,12,10.6,81.4,8.7,89.3,146.9,26.5,1.64,24.3,36.5,202.9,Poor
2022-01-22,00:00,Lucknow,1,0,10.5,86.6,3.7,127.0,271.3,4.5,0.83,5.0,31.2,315.2,Very Poor
2022-01-22,12:00,Kanpur,1,12,11.5,64.2,6.7,133.7,224.6,85.5,2.16,15.7,27.4,319.2,Very Poor
2022-01-23,00:00,Agra,1,0,9.5,77.2,10.4,39.8,75.0,34.9,0.84,35.6,20.1,70.7,Satisfactory
2022-01-23,12:00,Mathura,1,12,9.5,72.4,1.1,69.8,164.5,32.9,0.59,16.6,42.3,146.1,Moderate
2022-01-24,00:00,Varanasi,1,0,15.2,84.2,6.0,47.5,109.0,16.8,0.76,15.6,36.3,100.2,Moderate
